"SYSTEM", "1", "SYSTEM", "System Start", " "
"main", "72", "SYSTEM", "New Object", " object=Database:1"
"main", "73", "SYSTEM", "Method Call", " caller=RW_Semaphore#main:1, target=Database:1#Database:1"
"main", "74", "SYSTEM", "Method Entered", " "
"main", "75", "SYSTEM", "Line Step", " <source unavailable>"
"main", "76", "SYSTEM", "Line Step", " <source unavailable>"
"main", "77", "SYSTEM", "Field Write", " context=Database:1, data=0"
"main", "78", "SYSTEM", "Line Step", " <source unavailable>"
"main", "79", "SYSTEM", "Field Write", " context=Database:1, r=0"
"main", "80", "SYSTEM", "Line Step", " <source unavailable>"
"main", "81", "SYSTEM", "Field Write", " context=Database:1, w=0"
"main", "82", "SYSTEM", "Line Step", " <source unavailable>"
"main", "83", "SYSTEM", "Field Write", " context=Database:1, ww=0"
"main", "84", "SYSTEM", "Line Step", " <source unavailable>"
"main", "85", "SYSTEM", "Field Write", " context=Database:1, wr=0"
"main", "86", "SYSTEM", "Line Step", " <source unavailable>"
"main", "87", "SYSTEM", "Method Exit", " returner=Database:1#Database:1, value=<void>"
"main", "88", "SYSTEM", "Method Returned", " "
"main", "89", "SYSTEM", "Line Step", " <source unavailable>"
"main", "90", "SYSTEM", "Variable Write", " context=RW_Semaphore#main:1, d=Database:1"
"main", "91", "SYSTEM", "Line Step", " <source unavailable>"
"main", "92", "SYSTEM", "Type Load", " class=java.lang.Thread"
"main", "93", "SYSTEM", "Type Load", " class=Writer"
"main", "94", "SYSTEM", "New Object", " object=Writer:1"
"main", "95", "SYSTEM", "Method Call", " caller=RW_Semaphore#main:1, target=Writer:1#Writer:1"
"main", "96", "SYSTEM", "Method Entered", " "
"main", "97", "SYSTEM", "Variable Write", " context=Writer:1#Writer:1, d=Database:1"
"main", "98", "SYSTEM", "Variable Write", " context=Writer:1#Writer:1, x=1"
"main", "99", "SYSTEM", "Line Step", " <source unavailable>"
"main", "100", "SYSTEM", "Line Step", " <source unavailable>"
"main", "101", "SYSTEM", "Field Write", " context=Writer:1, d=Database:1"
"main", "102", "SYSTEM", "Line Step", " <source unavailable>"
"main", "103", "SYSTEM", "Field Write", " context=Writer:1, x=1"
"main", "104", "SYSTEM", "Line Step", " <source unavailable>"
"main", "105", "SYSTEM", "Method Exit", " returner=Writer:1#Writer:1, value=<void>"
"main", "106", "SYSTEM", "Method Returned", " "
"main", "107", "SYSTEM", "Line Step", " <source unavailable>"
"main", "108", "SYSTEM", "Variable Write", " context=RW_Semaphore#main:1, w1=Writer:1"
"main", "109", "SYSTEM", "Line Step", " <source unavailable>"
"main", "110", "SYSTEM", "New Object", " object=Writer:2"
"main", "111", "SYSTEM", "Method Call", " caller=RW_Semaphore#main:1, target=Writer:2#Writer:2"
"main", "112", "SYSTEM", "Method Entered", " "
"main", "113", "SYSTEM", "Variable Write", " context=Writer:2#Writer:2, d=Database:1"
"main", "114", "SYSTEM", "Variable Write", " context=Writer:2#Writer:2, x=10"
"main", "115", "SYSTEM", "Line Step", " <source unavailable>"
"main", "116", "SYSTEM", "Line Step", " <source unavailable>"
"main", "117", "SYSTEM", "Field Write", " context=Writer:2, d=Database:1"
"main", "118", "SYSTEM", "Line Step", " <source unavailable>"
"main", "119", "SYSTEM", "Field Write", " context=Writer:2, x=10"
"main", "120", "SYSTEM", "Line Step", " <source unavailable>"
"main", "121", "SYSTEM", "Method Exit", " returner=Writer:2#Writer:2, value=<void>"
"main", "122", "SYSTEM", "Method Returned", " "
"main", "123", "SYSTEM", "Line Step", " <source unavailable>"
"main", "124", "SYSTEM", "Variable Write", " context=RW_Semaphore#main:1, w2=Writer:2"
"main", "125", "SYSTEM", "Line Step", " <source unavailable>"
"main", "126", "SYSTEM", "New Object", " object=Writer:3"
"main", "127", "SYSTEM", "Method Call", " caller=RW_Semaphore#main:1, target=Writer:3#Writer:3"
"main", "128", "SYSTEM", "Method Entered", " "
"main", "129", "SYSTEM", "Variable Write", " context=Writer:3#Writer:3, d=Database:1"
"main", "130", "SYSTEM", "Variable Write", " context=Writer:3#Writer:3, x=100"
"main", "131", "SYSTEM", "Line Step", " <source unavailable>"
"main", "132", "SYSTEM", "Line Step", " <source unavailable>"
"main", "133", "SYSTEM", "Field Write", " context=Writer:3, d=Database:1"
"main", "134", "SYSTEM", "Line Step", " <source unavailable>"
"main", "135", "SYSTEM", "Field Write", " context=Writer:3, x=100"
"main", "136", "SYSTEM", "Line Step", " <source unavailable>"
"main", "137", "SYSTEM", "Method Exit", " returner=Writer:3#Writer:3, value=<void>"
"main", "138", "SYSTEM", "Method Returned", " "
"main", "139", "SYSTEM", "Line Step", " <source unavailable>"
"main", "140", "SYSTEM", "Variable Write", " context=RW_Semaphore#main:1, w3=Writer:3"
"main", "141", "SYSTEM", "Line Step", " <source unavailable>"
"main", "142", "SYSTEM", "New Object", " object=Writer:4"
"main", "143", "SYSTEM", "Method Call", " caller=RW_Semaphore#main:1, target=Writer:4#Writer:4"
"main", "144", "SYSTEM", "Method Entered", " "
"main", "145", "SYSTEM", "Variable Write", " context=Writer:4#Writer:4, d=Database:1"
"main", "146", "SYSTEM", "Variable Write", " context=Writer:4#Writer:4, x=1000"
"main", "147", "SYSTEM", "Line Step", " <source unavailable>"
"main", "148", "SYSTEM", "Line Step", " <source unavailable>"
"main", "149", "SYSTEM", "Field Write", " context=Writer:4, d=Database:1"
"main", "150", "SYSTEM", "Line Step", " <source unavailable>"
"main", "151", "SYSTEM", "Field Write", " context=Writer:4, x=1000"
"main", "152", "SYSTEM", "Line Step", " <source unavailable>"
"main", "153", "SYSTEM", "Method Exit", " returner=Writer:4#Writer:4, value=<void>"
"main", "154", "SYSTEM", "Method Returned", " "
"main", "155", "SYSTEM", "Line Step", " <source unavailable>"
"main", "156", "SYSTEM", "Variable Write", " context=RW_Semaphore#main:1, w4=Writer:4"
"main", "157", "SYSTEM", "Line Step", " <source unavailable>"
"main", "158", "SYSTEM", "New Object", " object=Writer:5"
"main", "159", "SYSTEM", "Method Call", " caller=RW_Semaphore#main:1, target=Writer:5#Writer:5"
"main", "160", "SYSTEM", "Method Entered", " "
"main", "161", "SYSTEM", "Variable Write", " context=Writer:5#Writer:5, d=Database:1"
"main", "162", "SYSTEM", "Variable Write", " context=Writer:5#Writer:5, x=10000"
"main", "163", "SYSTEM", "Line Step", " <source unavailable>"
"main", "164", "SYSTEM", "Line Step", " <source unavailable>"
"main", "165", "SYSTEM", "Field Write", " context=Writer:5, d=Database:1"
"main", "166", "SYSTEM", "Line Step", " <source unavailable>"
"main", "167", "SYSTEM", "Field Write", " context=Writer:5, x=10000"
"main", "168", "SYSTEM", "Line Step", " <source unavailable>"
"main", "169", "SYSTEM", "Method Exit", " returner=Writer:5#Writer:5, value=<void>"
"main", "170", "SYSTEM", "Method Returned", " "
"main", "171", "SYSTEM", "Line Step", " <source unavailable>"
"main", "172", "SYSTEM", "Variable Write", " context=RW_Semaphore#main:1, w5=Writer:5"
"main", "173", "SYSTEM", "Line Step", " <source unavailable>"
"main", "174", "SYSTEM", "Type Load", " class=Reader"
"main", "175", "SYSTEM", "New Object", " object=Reader:1"
"main", "176", "SYSTEM", "Method Call", " caller=RW_Semaphore#main:1, target=Reader:1#Reader:1"
"main", "177", "SYSTEM", "Method Entered", " "
"main", "178", "SYSTEM", "Variable Write", " context=Reader:1#Reader:1, d=Database:1"
"main", "179", "SYSTEM", "Line Step", " <source unavailable>"
"main", "180", "SYSTEM", "Line Step", " <source unavailable>"
"main", "181", "SYSTEM", "Field Write", " context=Reader:1, d=Database:1"
"main", "182", "SYSTEM", "Line Step", " <source unavailable>"
"main", "183", "SYSTEM", "Method Exit", " returner=Reader:1#Reader:1, value=<void>"
"main", "184", "SYSTEM", "Method Returned", " "
"main", "185", "SYSTEM", "Line Step", " <source unavailable>"
"main", "186", "SYSTEM", "Variable Write", " context=RW_Semaphore#main:1, r1=Reader:1"
"main", "187", "SYSTEM", "Line Step", " <source unavailable>"
"main", "188", "SYSTEM", "New Object", " object=Reader:2"
"main", "189", "SYSTEM", "Method Call", " caller=RW_Semaphore#main:1, target=Reader:2#Reader:2"
"main", "190", "SYSTEM", "Method Entered", " "
"main", "191", "SYSTEM", "Variable Write", " context=Reader:2#Reader:2, d=Database:1"
"main", "192", "SYSTEM", "Line Step", " <source unavailable>"
"main", "193", "SYSTEM", "Line Step", " <source unavailable>"
"main", "194", "SYSTEM", "Field Write", " context=Reader:2, d=Database:1"
"main", "195", "SYSTEM", "Line Step", " <source unavailable>"
"main", "196", "SYSTEM", "Method Exit", " returner=Reader:2#Reader:2, value=<void>"
"main", "197", "SYSTEM", "Method Returned", " "
"main", "198", "SYSTEM", "Line Step", " <source unavailable>"
"main", "199", "SYSTEM", "Variable Write", " context=RW_Semaphore#main:1, r2=Reader:2"
"main", "200", "SYSTEM", "Line Step", " <source unavailable>"
"main", "201", "SYSTEM", "New Object", " object=Reader:3"
"main", "202", "SYSTEM", "Method Call", " caller=RW_Semaphore#main:1, target=Reader:3#Reader:3"
"main", "203", "SYSTEM", "Method Entered", " "
"main", "204", "SYSTEM", "Variable Write", " context=Reader:3#Reader:3, d=Database:1"
"main", "205", "SYSTEM", "Line Step", " <source unavailable>"
"main", "206", "SYSTEM", "Line Step", " <source unavailable>"
"main", "207", "SYSTEM", "Field Write", " context=Reader:3, d=Database:1"
"main", "208", "SYSTEM", "Line Step", " <source unavailable>"
"main", "209", "SYSTEM", "Method Exit", " returner=Reader:3#Reader:3, value=<void>"
"main", "210", "SYSTEM", "Method Returned", " "
"main", "211", "SYSTEM", "Line Step", " <source unavailable>"
"main", "212", "SYSTEM", "Variable Write", " context=RW_Semaphore#main:1, r3=Reader:3"
"main", "213", "SYSTEM", "Line Step", " <source unavailable>"
"main", "214", "SYSTEM", "New Object", " object=Reader:4"
"main", "215", "SYSTEM", "Method Call", " caller=RW_Semaphore#main:1, target=Reader:4#Reader:4"
"main", "216", "SYSTEM", "Method Entered", " "
"main", "217", "SYSTEM", "Variable Write", " context=Reader:4#Reader:4, d=Database:1"
"main", "218", "SYSTEM", "Line Step", " <source unavailable>"
"main", "219", "SYSTEM", "Line Step", " <source unavailable>"
"main", "220", "SYSTEM", "Field Write", " context=Reader:4, d=Database:1"
"main", "221", "SYSTEM", "Line Step", " <source unavailable>"
"main", "222", "SYSTEM", "Method Exit", " returner=Reader:4#Reader:4, value=<void>"
"main", "223", "SYSTEM", "Method Returned", " "
"main", "224", "SYSTEM", "Line Step", " <source unavailable>"
"main", "225", "SYSTEM", "Variable Write", " context=RW_Semaphore#main:1, r4=Reader:4"
"main", "226", "SYSTEM", "Line Step", " <source unavailable>"
"main", "227", "SYSTEM", "New Object", " object=Reader:5"
"main", "228", "SYSTEM", "Method Call", " caller=RW_Semaphore#main:1, target=Reader:5#Reader:5"
"main", "229", "SYSTEM", "Method Entered", " "
"main", "230", "SYSTEM", "Variable Write", " context=Reader:5#Reader:5, d=Database:1"
"main", "231", "SYSTEM", "Line Step", " <source unavailable>"
"main", "232", "SYSTEM", "Line Step", " <source unavailable>"
"main", "233", "SYSTEM", "Field Write", " context=Reader:5, d=Database:1"
"main", "234", "SYSTEM", "Line Step", " <source unavailable>"
"main", "235", "SYSTEM", "Method Exit", " returner=Reader:5#Reader:5, value=<void>"
"main", "236", "SYSTEM", "Method Returned", " "
"main", "237", "SYSTEM", "Line Step", " <source unavailable>"
"main", "238", "SYSTEM", "Variable Write", " context=RW_Semaphore#main:1, r5=Reader:5"
"main", "239", "SYSTEM", "Line Step", " <source unavailable>"
"main", "240", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "241", "SYSTEM", "Thread Start", " Thread-0 (364)"
"Thread-0", "242", "SYSTEM", "Method Call", " caller=SYSTEM, target=Writer:1#run:1"
"Thread-0", "243", "SYSTEM", "Method Entered", " "
"main", "244", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-5", "245", "SYSTEM", "Thread Start", " Thread-5 (371)"
"Thread-5", "246", "SYSTEM", "Method Call", " caller=SYSTEM, target=Reader:1#run:1"
"Thread-5", "247", "SYSTEM", "Method Entered", " "
"Thread-0", "248", "SYSTEM", "Variable Write", " context=Writer:1#run:1, i=0"
"Thread-0", "249", "SYSTEM", "Line Step", " <source unavailable>"
"main", "250", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-6", "251", "SYSTEM", "Thread Start", " Thread-6 (372)"
"Thread-6", "252", "SYSTEM", "Method Call", " caller=SYSTEM, target=Reader:2#run:2"
"Thread-6", "253", "SYSTEM", "Method Entered", " "
"Thread-5", "254", "SYSTEM", "Variable Write", " context=Reader:1#run:1, i=0"
"Thread-5", "255", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "256", "SYSTEM", "Field Read", " context=Writer:1, d"
"main", "257", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-7", "258", "SYSTEM", "Thread Start", " Thread-7 (373)"
"Thread-7", "259", "SYSTEM", "Method Call", " caller=SYSTEM, target=Reader:3#run:3"
"Thread-7", "260", "SYSTEM", "Method Entered", " "
"Thread-6", "261", "SYSTEM", "Variable Write", " context=Reader:2#run:2, i=0"
"Thread-6", "262", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-5", "263", "SYSTEM", "Field Read", " context=Reader:1, d"
"Thread-0", "264", "SYSTEM", "Method Call", " caller=Writer:1#run:1, target=Database:1#request_write:1"
"Thread-0", "265", "SYSTEM", "Method Entered", " "
"Thread-0", "266", "SYSTEM", "Line Step", " <source unavailable>"
"main", "267", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "268", "SYSTEM", "Thread Start", " Thread-1 (365)"
"Thread-1", "269", "SYSTEM", "Method Call", " caller=SYSTEM, target=Writer:2#run:2"
"Thread-1", "270", "SYSTEM", "Method Entered", " "
"Thread-7", "271", "SYSTEM", "Variable Write", " context=Reader:3#run:3, i=0"
"Thread-7", "272", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-6", "273", "SYSTEM", "Field Read", " context=Reader:2, d"
"Thread-5", "274", "SYSTEM", "Method Call", " caller=Reader:1#run:1, target=Database:1#request_read:1"
"Thread-5", "275", "SYSTEM", "Method Entered", " "
"Thread-5", "276", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "277", "SYSTEM", "Field Read", " context=Database, s3"
"main", "278", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "279", "SYSTEM", "Thread Start", " Thread-2 (366)"
"Thread-2", "280", "SYSTEM", "Method Call", " caller=SYSTEM, target=Writer:3#run:3"
"Thread-2", "281", "SYSTEM", "Method Entered", " "
"Thread-1", "282", "SYSTEM", "Variable Write", " context=Writer:2#run:2, i=0"
"Thread-1", "283", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-7", "284", "SYSTEM", "Field Read", " context=Reader:3, d"
"Thread-6", "285", "SYSTEM", "Method Call", " caller=Reader:2#run:2, target=Database:1#request_read:2"
"Thread-6", "286", "SYSTEM", "Method Entered", " "
"Thread-6", "287", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-5", "288", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-0", "289", "SYSTEM", "Line Step", " <source unavailable>"
"main", "290", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "291", "SYSTEM", "Thread Start", " Thread-3 (367)"
"Thread-3", "292", "SYSTEM", "Method Call", " caller=SYSTEM, target=Writer:4#run:4"
"Thread-3", "293", "SYSTEM", "Method Entered", " "
"Thread-2", "294", "SYSTEM", "Variable Write", " context=Writer:3#run:3, i=0"
"Thread-2", "295", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "296", "SYSTEM", "Field Read", " context=Writer:2, d"
"Thread-7", "297", "SYSTEM", "Method Call", " caller=Reader:3#run:3, target=Database:1#request_read:3"
"Thread-7", "298", "SYSTEM", "Method Entered", " "
"Thread-7", "299", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-6", "300", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-0", "301", "SYSTEM", "Field Read", " context=Database:1, r"
"main", "302", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "303", "SYSTEM", "Thread Start", " Thread-4 (368)"
"Thread-4", "304", "SYSTEM", "Method Call", " caller=SYSTEM, target=Writer:5#run:5"
"Thread-4", "305", "SYSTEM", "Method Entered", " "
"Thread-3", "306", "SYSTEM", "Variable Write", " context=Writer:4#run:4, i=0"
"Thread-3", "307", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "308", "SYSTEM", "Field Read", " context=Writer:3, d"
"Thread-1", "309", "SYSTEM", "Method Call", " caller=Writer:2#run:2, target=Database:1#request_write:2"
"Thread-1", "310", "SYSTEM", "Method Entered", " "
"Thread-1", "311", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-7", "312", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-0", "313", "SYSTEM", "Field Read", " context=Database:1, w"
"main", "314", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-8", "315", "SYSTEM", "Thread Start", " Thread-8 (374)"
"Thread-8", "316", "SYSTEM", "Method Call", " caller=SYSTEM, target=Reader:4#run:4"
"Thread-8", "317", "SYSTEM", "Method Entered", " "
"Thread-4", "318", "SYSTEM", "Variable Write", " context=Writer:5#run:5, i=0"
"Thread-4", "319", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "320", "SYSTEM", "Field Read", " context=Writer:4, d"
"Thread-2", "321", "SYSTEM", "Method Call", " caller=Writer:3#run:3, target=Database:1#request_write:3"
"Thread-2", "322", "SYSTEM", "Method Entered", " "
"Thread-2", "323", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "324", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-0", "325", "SYSTEM", "Line Step", " <source unavailable>"
"main", "326", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-9", "327", "SYSTEM", "Thread Start", " Thread-9 (375)"
"Thread-9", "328", "SYSTEM", "Method Call", " caller=SYSTEM, target=Reader:5#run:5"
"Thread-9", "329", "SYSTEM", "Method Entered", " "
"Thread-8", "330", "SYSTEM", "Variable Write", " context=Reader:4#run:4, i=0"
"Thread-8", "331", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "332", "SYSTEM", "Field Read", " context=Writer:5, d"
"Thread-3", "333", "SYSTEM", "Method Call", " caller=Writer:4#run:4, target=Database:1#request_write:4"
"Thread-3", "334", "SYSTEM", "Method Entered", " "
"Thread-3", "335", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "336", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-0", "337", "SYSTEM", "Field Write", " context=Database:1, w=1"
